id,birth_date,name,type,owner_id,energy_level,separation_anxiety_score,cats,children,dogs,trainability_index,body_condition_score,current_weight_kg,ideal_weight_kg,sterilization_status,breed,caloric_intake_daily,food_type,climate_zone,dwelling_type,noise_exposure_level,outdoor_access_hours,gender,diagnosis
1,2020-04-01,Ruby,Dog,1,High,3,Aggressive,Protective,Alert,4.5,5,31.5,32.0,Spayed,Doberman,1600,High Energy Kibble,Warm,House,Medium,3.0,Female,
2,2019-02-14,Coco,Parrot,1,High,5,Fearful,Talkative,Alert,5.0,5,0.46,0.45,Not Applicable,African Grey,180,Pellets & Fruits,Warm,Indoor Cage,High,0.0,Female,
3,2019-05-15,Tiger,Dog,2,High,2,Alert,Protective,Friendly,4.0,5,21.5,20.0,Neutered,Indian Pariah,1100,Home Cooked (Chicken & Rice,,,,,,
4,2021-08-20,Kitty,Cat,2,Low,1,Neutral,Calm,Fearful,2.5,6,4.5,4.0,Spayed,Persian,250,Wet Food,Moderate,Apartment,Low,0.0,Female,
5,2020-01-10,Bruno,Dog,2,Medium,4,Friendly,Very Friendly,Friendly,4.8,7,34.0,30.0,Neutered,Labrador Retriever,900,Diet Dry Food,Warm,House,Medium,2.0,Male,
6,2016-04-12,Ganga,Cow,3,Medium,1,Indifferent,Gentle,Calm,3.0,5,410.0,400.0,Not Applicable,Gir,15000,Green Fodder & Oil Cake,Hot,Farm,Low,10.0,Female,
7,2018-09-09,Yamuna,Cow,3,Medium,1,Indifferent,Friendly,Cautious,2.8,6,365.0,350.0,Not Applicable,Red Sindhi,14000,Dry Fodder,Hot,Farm,Low,10.0,Female,
8,2022-01-15,Raju,Goat,3,High,2,Neutral,Playful,Alert,3.5,5,36.5,35.0,Not Applicable,Osmanabadi,2500,Leaves and Grains,Dry,Farm,Low,8.0,Male,
9,2020-03-22,Mithu,Parrot,4,High,4,Fearful,Talkative,Fearful,4.5,5,0.13,0.12,Not Applicable,Indian Ringneck,80,Seeds & Chilies,Humid,Indoor Cage,High,0.0,Male,
10,2022-11-05,Chiku,Rabbit,4,Medium,2,Cautious,Gentle,Fearful,3.0,4,2.1,2.0,Neutered,Dutch,180,Hay & Carrots,Moderate,Apartment,Low,0.5,Male,
11,2019-06-18,Rocky,Dog,4,High,3,Aggressive,Protective,Dominant,5.0,5,36.0,35.0,Neutered,German Shepherd,1600,High Protein Kibble,Warm,House,Medium,4.0,Male,
12,2020-02-14,Simba,Cat,4,Medium,2,Friendly,Friendly,Tolerant,3.5,5,8.2,8.0,Neutered,Maine Coon,400,Raw Meat Diet,Moderate,House,Medium,1.0,Male,
13,2021-09-09,Luna,Cat,5,High,5,Dominant,Avoidant,Curious,4.0,4,3.2,3.5,Spayed,Siamese,220,Wet Food,Humid,Apartment,Low,0.0,Female,
14,2019-12-01,Bella,Cat,5,Low,1,Friendly,Tolerant,Neutral,2.0,6,5.8,5.0,Spayed,Ragdoll,200,Diet Wet Food,Humid,Apartment,Low,0.0,Female,
15,2017-06-15,Nandini,Cow,6,Medium,1,Indifferent,Friendly,Cautious,2.5,5,420.0,400.0,Not Applicable,Tharparkar,13000,Dry Fodder & Grains,Dry,Farm,Low,12.0,Female,
16,2021-04-20,Sheru,Goat,6,High,1,Neutral,Cautious,Aggressive,3.0,6,65.0,60.0,Not Applicable,Jamunapari,2800,Leaves & Shrubs,Dry,Farm,Low,8.0,Male,
17,2022-08-10,Babli,Goat,6,Medium,2,Neutral,Friendly,Alert,3.5,5,26.0,25.0,Not Applicable,Barbari,1500,Green Grass,Dry,Farm,Low,8.0,Female,
18,2019-01-25,Radha,Cow,6,Medium,1,Indifferent,Gentle,Calm,2.0,5,445.0,450.0,Not Applicable,Kankrej,14500,Hay & Cottonseed Cake,Dry,Farm,Low,10.0,Female,
19,2021-03-30,Charlie,Dog,7,High,4,Friendly,Very Friendly,Friendly,4.5,6,33.5,32.0,Neutered,Golden Retriever,1400,Hypoallergenic Kibble,Humid,Apartment,High,1.5,Male,
20,2023-02-14,Snowy,Rabbit,7,Medium,3,Cautious,Cuddly,Fearful,2.5,4,2.8,3.0,Spayed,Angora,200,Timothy Hay,Humid,Indoor Cage,Low,0.0,Female,
21,2018-07-07,Rio,Parrot,7,High,5,Aggressive,Entertaining,Aggressive,5.0,5,1.1,1.0,Not Applicable,Macaw,250,Nuts & Fruits,Humid,Indoor Cage,High,0.0,Male,
22,2019-11-22,Max,Dog,8,Medium,2,Aggressive,Protective,Dominant,4.5,5,52.0,50.0,Neutered,Rottweiler,2200,Raw Meat,Moderate,House,Medium,3.0,Male,
23,2021-06-12,Cooper,Dog,8,High,4,Curious,Playful,Friendly,3.0,7,13.0,10.0,Neutered,Beagle,800,Diet Kibble,Moderate,House,Medium,2.0,Male,
24,2020-06-12,Bella,Dog,8,High,2,Tolerant,Protective,Alert,4.8,6,31.8,32.0,Spayed,Doberman,1450,Premium Kibble,Moderate,House,Medium,3.5,Female,
25,2021-05-10,Milo,Cat,9,Low,2,Friendly,Gentle,Tolerant,3.0,5,4.7,4.5,Neutered,Scottish Fold,240,Wet Food,Humid,Apartment,Low,0.0,Male,
26,2022-09-15,Thumper,Rabbit,9,Medium,1,Cautious,Friendly,Fearful,2.5,5,1.65,1.6,Neutered,Mini Lop,160,Pellets & Greens,Humid,Indoor Cage,Medium,0.0,Male,
27,2023-01-05,Skye,Parrot,9,High,1,Fearful,Interactive,Fearful,2.0,5,0.035,0.035,Not Applicable,Budgerigar,30,Seed Mix,Humid,Indoor Cage,Low,0.0,Female,
28,2017-11-20,Gauri,Cow,10,High,1,Indifferent,Friendly,Indifferent,2.5,6,410.0,400.0,Not Applicable,Kangayam,14000,Grazing & Hay,Warm,Farm,Low,12.0,Female,
29,2021-06-15,Velu,Goat,10,High,1,Neutral,Playful,Alert,3.0,5,32.0,30.0,Not Applicable,Salem Black,1800,Shrubs,Warm,Farm,Low,8.0,Male,
30,2020-02-28,Raja,Dog,10,High,3,Aggressive,Protective,Dominant,4.0,5,34.0,35.0,Neutered,Rajapalayam,1600,Raw Meat & Rice,Warm,Farm,Low,10.0,Male,
31,2021-12-10,Pixie,Dog,11,Medium,4,Neutral,Friendly,Fearful,3.0,5,2.3,2.2,Spayed,Pomeranian,250,Small Breed Kibble,Moderate,Apartment,Medium,0.5,Female,
32,2019-08-05,Cleo,Cat,11,Low,1,Territorial,Independent,Avoidant,3.0,6,4.5,4.0,Spayed,Domestic Shorthair,220,Dry Food,Moderate,Apartment,Low,0.0,Female,
33,2022-04-20,Sunshine,Parrot,11,High,3,Fearful,Playful,Fearful,3.5,5,0.11,0.11,Not Applicable,Sun Conure,90,Fruit Mix,Moderate,Indoor Cage,Medium,0.0,Male,
34,2020-01-15,Kaiser,Dog,12,Medium,2,Aggressive,Protective,Dominant,4.5,5,56.0,55.0,Neutered,Rottweiler,2100,High Protein,Moderate,House,Low,3.0,Male,
35,2019-07-30,Duke,Dog,12,Low,3,Tolerant,Gentle Giant,Friendly,3.0,6,78.0,75.0,Neutered,Great Dane,3800,Large Breed Formula,Moderate,House,Low,1.5,Male,
36,2021-03-25,Olive,Cat,13,Medium,2,Friendly,Shy,Cautious,3.5,5,3.6,3.5,Spayed,Russian Blue,230,Grain Free Wet Food,Warm,Apartment,Medium,0.0,Female,
37,2022-08-14,Jasper,Cat,13,High,1,Playful,Friendly,Friendly,4.0,5,4.6,4.5,Neutered,Bombay Cat,280,Dry Food,Warm,Apartment,Medium,0.0,Male,
38,2021-04-18,Bheema,Goat,14,High,1,Indifferent,Friendly,Alert,2.5,5,42.0,40.0,Not Applicable,Berari,2000,Shrubs,Dry,Farm,Low,8.0,Male,
39,2018-09-22,Lakshmi,Cow,14,Medium,1,Indifferent,Gentle,Calm,2.8,6,390.0,380.0,Not Applicable,Gaolao,13500,Fodder,Dry,Farm,Low,10.0,Female,
40,2020-01-10,Saraswati,Cow,14,Medium,1,Indifferent,Very Friendly,Friendly,3.5,5,165.0,160.0,Not Applicable,Punganur,5500,Green Grass,Dry,Farm,Low,8.0,Female,
41,2019-05-30,Bluey,Parrot,15,High,4,Fearful,Playful,Alert,4.0,5,1.55,1.5,Not Applicable,Hyacinth Macaw,300,Macadamia Nuts,Humid,Indoor Cage,Medium,0.0,Male,
42,2022-11-20,Cinnabon,Rabbit,15,Medium,1,Cautious,Tolerant,Fearful,2.0,5,4.1,4.0,Spayed,Cinnamon,220,Greens,Humid,Indoor Cage,Low,0.0,Female,
43,2021-08-10,Zoe,Dog,15,High,4,Curious,Friendly,Friendly,3.5,6,11.0,10.0,Spayed,Beagle,750,Kibble,Humid,Apartment,High,1.5,Female,
44,2020-11-05,Rusty,Dog,16,Medium,4,Aggressive,Playful,Alert,3.0,6,12.0,11.0,Neutered,Dachshund,550,Weight Control Kibble,Moderate,Apartment,Medium,1.0,Male,
45,2021-03-22,Mist,Cat,16,Low,2,Friendly,Gentle,Tolerant,2.5,5,3.9,3.8,Spayed,Scottish Fold,220,Wet Food,Moderate,Apartment,Low,0.0,Female,
46,2019-06-15,Bhairava,Dog,17,Very High,1,Prey Drive,Friendly,Friendly,4.0,4,21.5,22.0,Not Applicable,Mudhol Hound,1800,Raw Meat & Rice,Dry,Farm,Low,8.0,Male,
47,2018-01-20,Krishna,Cow,17,High,1,Indifferent,Friendly,Calm,3.0,6,460.0,450.0,Not Applicable,Hallikar,15000,Dry Fodder,Dry,Farm,Low,12.0,Male,
48,2021-08-15,Tommy,Dog,18,Medium,1,Friendly,Playful,Friendly,4.5,5,18.5,18.0,Neutered,Indian Pariah,1000,Home Cooked,Moderate,House,Medium,8.0,Male,
49,2022-01-10,Ramu,Goat,18,High,1,Neutral,Friendly,Fearful,3.0,5,32.0,30.0,Not Applicable,Surti,1200,Green Leaves,Humid,Farm,Low,6.0,Male,
50,2020-04-05,Mimi,Cat,19,Low,3,Friendly,Calm,Avoidant,2.5,5,3.6,3.5,Spayed,Himalayan,200,Wet Food,Moderate,Apartment,Low,0.0,Female,
51,2019-09-09,Piku,Parrot,19,High,4,Fearful,Talkative,Alert,4.2,5,0.26,0.25,Not Applicable,Alexandrine Parakeet,100,Fruits & Seeds,Humid,Indoor Cage,Medium,0.0,Male,
52,2022-12-01,Choco,Rabbit,19,High,2,Fearful,Playful,Fearful,3.0,4,2.4,2.5,Neutered,English Spot,200,Hay & Greens,Humid,Indoor Cage,Medium,0.0,Male,
53,2018-11-20,Rocky,Dog,20,Low,4,Tolerant,Gentle,Friendly,3.0,6,85.0,80.0,Neutered,Saint Bernard,4000,Large Breed Formula,Cool,House,Low,1.0,Male,
54,2020-02-15,Simba,Dog,20,Medium,2,Aggressive,Protective,Dominant,2.5,5,68.0,65.0,Neutered,Tibetan Mastiff,3500,Raw Meat Diet,Cool,Farm,Low,12.0,Male,
55,2021-05-10,Sweety,Parrot,20,Medium,3,Fearful,Friendly,Alert,4.0,5,0.42,0.4,Not Applicable,Eclectus,150,Soft Fruits & Veggies,Cool,Indoor Cage,Low,0.0,Female,
56,2022-08-20,Zorro,Cat,21,High,5,Friendly,Cuddly,Friendly,4.0,5,3.6,3.5,Neutered,Sphynx,300,High Calorie Wet Food,Moderate,Apartment,Low,0.0,Male,
57,2021-03-03,Hazel,Dog,21,Low,4,Tolerant,Playful,Friendly,3.0,6,11.5,10.0,Spayed,French Bulldog,600,Grain Free Kibble,Moderate,Apartment,Medium,0.5,Female,
58,2020-01-25,Pepper,Dog,22,High,3,Cautious,Energetic,Friendly,3.8,5,26.0,25.0,Neutered,Dalmatian,1300,Low Purine Diet,Warm,House,Medium,3.0,Male,
